"STATISTIC","Statistic Label","C02076V02508","Age Group","C02199V02655","Sex","C03658V04400","Influencing factor of EV purchase","TLIST(A1)","Year","UNIT","VALUE"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","010","Better value","2019","2019","%","58"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","020","Better affordability to run","2019","2019","%","61.5"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","040","Higher toll discounts","2019","2019","%","7.4"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","050","More availability of overnight charging at low cost","2019","2019","%","27.3"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","060","More availability of charging points away from home","2019","2019","%","28.9"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","070","Making more of a contribution to a better environment","2019","2019","%","49.3"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","080","Improved health from use","2019","2019","%","10.8"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","090","Reduced noise pollution","2019","2019","%","14.2"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","1","Male","100","Other influencing factors","2019","2019","%","6.6"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","010","Better value","2019","2019","%","42.5"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","020","Better affordability to run","2019","2019","%","25.4"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","040","Higher toll discounts","2019","2019","%","5.6"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","050","More availability of overnight charging at low cost","2019","2019","%","27"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","060","More availability of charging points away from home","2019","2019","%","37.8"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","070","Making more of a contribution to a better environment","2019","2019","%","75.4"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","080","Improved health from use","2019","2019","%","11.2"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","090","Reduced noise pollution","2019","2019","%","35.4"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","350","18 - 24 years","2","Female","100","Other influencing factors","2019","2019","%","0"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","415","25 - 34 years","1","Male","010","Better value","2019","2019","%","52.3"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","415","25 - 34 years","1","Male","020","Better affordability to run","2019","2019","%","59.7"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","415","25 - 34 years","1","Male","040","Higher toll discounts","2019","2019","%","7.9"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","415","25 - 34 years","1","Male","050","More availability of overnight charging at low cost","2019","2019","%","31.8"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","415","25 - 34 years","1","Male","060","More availability of charging points away from home","2019","2019","%","56.1"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","415","25 - 34 years","1","Male","070","Making more of a contribution to a better environment","2019","2019","%","41.8"
"NTA49","Persons who indicated their willingness to buy an Electric Vehicle (EV)","415","25 - 34 years","1","Male","080","Improved health from use","2019","2019","%","4.9"
