_Year,Vehicle_Make,Vehicle_Class,Model/Trim_Description,Amount,OBJECTID
2023,DAF,Unibody Winter Gritter,18 ton 2 Axle Unibody,8,0
2023,Mitsubishi,Fuso Canter,3.5 ton Truck,19,1
2023,Mitsubishi,Fuso Canter,7.5 ton Truck,14,2
2023,Mitsubishi,Fuso Canter(Electric),7.5 ton Electric Truck,1,3
2023,Volkswagen,Crafter,3.5 ton Truck,5,4
2023,LDV,EV80 Electric,3.5 ton Truck,3,5
2023,Fiat,Ducato,3.5 ton Truck,10,6
2023,Isuzu,DMAX,Jeep,3,7
2023,Ford ,Ranger,Jeep,19,8
2023,Iveco,Daily,7.5 ton Truck,1,9
2023,Isuzu,N75 190,7.5 ton Truck,12,10
2023,Phoenix,Chip Spreader,Chip Spreader,1,11
2023,Hino,Hino 700/Palfinger,Grab Truck,1,12
2023,Iveco,Fuller,Gully Sucker/Jet Vac,1,13
2023,Citroen,Berlingo,Light Commercial Van,15,14
2023,Citroen,Berlingo (Electric),Light Commercial Van,5,15
2023,Citroen,Dispatch,Light Commercial Van,2,16
2023,Nissan,E-NV200 Electric,Light Commercial Van,36,17
2023,Citroen,Relay,Medium Commercial Van,6,18
2023,Fiat,Doblo Work up,Light Commercial Van,3,19
2023,Fiat,Ducato,Medium Commercial Van,1,20
2023,Mercedes,Vito Classic,Medium Commercial Van,1,21
2023,Ford ,Transit,Mini Bus,1,22
2023,Iveco,NU-Track,Mobile Library,5,23
2023,Mitsubishi,Pajero,Passenger Jeep,1,24
2023,Scania,Tar Sprayer,Tar Sprayer,1,25
2023,,Total Fleet,Total Fleet 2023,175,26
Year,Vehicle Make,Vehicle Class,Model/Trim Description,Amount,27
2024,BERLINGO,CITROEN,Light Commercial Van,15,28
2024,BERLINGO ELECTRIC,CITROEN,Light Commercial Van,5,29
2024,DISPATCH,CITROEN,Light Commercial Van,2,30
2024,RELAY,CITROEN,Medium Commercial Van,5,31
2024,UNIBODY SALT SPRDER,DAF,18 Ton 2 Axle Unibody,9,32
2024,DUCATO,FIAT,3.5 Ton Single Cab Drop Side Tipper with Creels,10,33
2024,RANGER,FORD,4 Wheel Drive Crew Cab Jeep,18,34
2024,TRANSIT MINI BUS,FORD,Mini Bus,1,35
2024,CITY MASTER 1650,HAKO,Compact Sweeper,3,36
2024,ISUZU N75.190 S CAB,ISUZU,6 Ton Tipping Body Single Cab Pick Up,12,37
2024,FULLER,IVECO,Gully Sucker/Jet Vac,1,38
2024,NU-TRACK MOBILE LBRY,IVECO,Mobile Library,4,39
2024,CN201,JOHNSTON,Compact Sweeper,7,40
2024,JOHNSTON VT 651,JOHNSTON,Road Sweeper,5,41
2024,EV80 ELECTRIC,LDV,3.5 Ton Single Cab Drop Side Tipper ,7,42
2024,EDELIVER 3,MAXUS,3.5 Ton Single Cab Drop Side Tipper,6,43
2024,EDELIVER 9,MAXUS,Medium Commercial Van,5,44
2024,EDELIVER 9,MAXUS,3.5 Ton Single Cab Drop Side Tipper,2,45
2024,VITO CLASSIC,MERCEDEZ,Medium Commercial Van,1,46
2024,FUSO 3.5T TIPPER,MITSUBISHI,3.5 Ton Single Cab Drop Side Tipper ,13,47
2024,FUSO 7.5T C CAB TIPP,MITSUBISHI,6 Ton Tipping Body Crew Cab Pick Up,16,48
2024,FUSO 7.5T ELECTRIC,MITSUBISHI,6 Ton Tipping Body Single Cab Pick Up,1,49
2024,MITSUBISHI PAJERO,MITSUBISHI,Passenger Jeep,1,50
2024,E-NV200 40KW,NISSAN,Light Commercial Van,36,51
2024,CHIP SPREADER,PHOENIX,Chip Spreader,1,52
2024,RENAULT MASTER LH35,RENAULT,3.5 Ton Single Cab Drop Side Tipper,4,53
2024,TAR SPRAYER,SCANIA,Tar Sprayer Binder Distributer & Combi Unit,1,54
2024,VW CRAFTER,VOLKSWAGEN,3.5 Ton Single Cab Drop Side Tipper,5,55
2024,Total,Total Fleet,Total Fleet 2024,196,56
